NTPTime,GSR,GSR_clean,TAG,emotion_HRI,shortNTPTime
3588519.0,11.083955764770508,-0.927469499397805,,,
3588769.0,11.077552795410156,-0.9342116531331596,,,
3589019.0,11.0442533493042,-0.9400744524552074,,,
3589269.0,11.02248191833496,-0.9449112109631188,,,
3589519.0,10.993024826049805,-0.9483800241938488,,,
3589769.0,10.921305656433104,-0.9543405053081156,,,
3590019.0,10.870859146118164,-0.960955108814971,,,
3590269.0,10.867016792297363,-0.9668857578735136,,,
3590519.0,10.86573600769043,-0.9717415434120882,,,
3590769.0,10.824753761291504,-0.9754247836384756,,,
3591019.0,10.837560653686523,-0.9766950471234376,,,
3591269.0,11.015580177307127,-0.9710276841469396,,,
3591519.0,11.142370223999023,-0.9604747035761428,,,
3591769.0,11.244827270507812,-0.9444498327549536,,,
3592019.0,11.333196640014648,-0.925542421359128,,,
3592269.0,11.421566009521484,-0.910054964107645,,,
3592519.0,11.503532409667969,-0.8962774293574997,,,
3592769.0,11.714067459106444,-0.8783769589840358,,,
3593019.0,11.988140106201172,-0.8533923212705051,,,
3593269.0,12.42780590057373,-0.8150065056561799,,,
3593519.0,12.62375545501709,-0.7722724860172622,,,
3593769.0,13.059576988220217,-0.7209442876908485,,,
3594019.0,13.275609970092772,-0.6718301736075127,,,
3594269.0,13.273049354553224,-0.6395860142751458,,,
3594519.0,13.196206092834473,-0.6177482946349692,,,
3594769.0,13.101432800292969,-0.6161515884231608,,,
3595019.0,12.98232650756836,-0.6273397007364385,,,
3595269.0,12.851694107055664,-0.643413467024571,,,
3595519.0,12.774850845336914,-0.6594872333127034,,,
3595769.0,12.74795627593994,-0.6729715771639683,,,
3596019.0,12.80430793762207,-0.6797625899857104,,,
3596269.0,12.954151153564451,-0.6758540813580493,,,
3596519.0,13.09631061553955,-0.6635911055248033,,,
3596769.0,13.192363739013672,-0.6466379484428081,,,
3597019.0,13.156503677368164,-0.6332024636779305,,,
3597269.0,13.089906692504885,-0.6280236915653071,,,
3597519.0,13.078380584716797,-0.6287076823941756,,,
3597769.0,13.07966136932373,-0.6330070273323808,,,
3598019.0,13.206451416015623,-0.6311016321049375,,,
3598269.0,13.361417770385742,-0.6207440878796906,,,
3598519.0,13.53687572479248,-0.6032535172279895,,,
3598769.0,13.81533145904541,-0.5751893382303749,,,
3599019.0,13.902420043945312,-0.5486396817691039,,,
3599269.0,13.945963859558104,-0.5263405475402064,,,
3599519.0,14.081719398498535,-0.5055559722282084,,,
3599769.0,14.406364440917969,-0.4830093774590224,,,
3600019.0,14.594629287719728,-0.4566031331485625,,,
3600269.0,14.823243141174316,-0.4231368781870614,,,
3600519.0,14.823243141174316,-0.3948493953381839,,,
3600769.0,14.766891479492188,-0.3810960900381756,,,
3601019.0,14.572223663330078,-0.3819508148152319,,,
3601269.0,14.301992416381836,-0.4018353715582508,,,
3601519.0,14.062499046325684,-0.4308560681279419,,,
3601769.0,13.87935733795166,-0.4647135232055445,,,
3602019.0,13.69300651550293,-0.4982537034563525,,,
3602269.0,13.548285484313965,-0.5270059479050809,,,
3602519.0,13.43814468383789,-0.5508236792925673,,,
3602769.0,13.361958503723145,-0.5705612949708662,,,
3603019.0,13.29664134979248,-0.585681745175829,,,
3603269.0,13.235167503356934,-0.5976265002878307,,,
3603519.0,13.192903518676758,-0.6069819057240765,,,
3603769.0,13.155763626098633,-0.6148477820657866,,,
3604019.0,13.087885856628418,-0.622811340199716,,,
3604269.0,13.030253410339355,-0.6306283574550386,,,
3604519.0,12.959814071655272,-0.6395202018497737,,,
3604769.0,13.069415092468262,-0.6428142065100706,,,
3605019.0,13.35501480102539,-0.6326238309385468,,,
3605269.0,13.600912094116213,-0.6108544703626456,,,
3605519.0,13.96005153656006,-0.5726976339662823,,,
3605769.0,14.052263259887695,-0.5352041606236707,,,
3606019.0,14.14125633239746,-0.505210793515145,,,
3606269.0,14.022150039672852,-0.4891415020353711,,,
3606519.0,13.79930591583252,-0.4952735902311642,,,
3606769.0,13.608479499816896,-0.5122029544296913,,,
3607019.0,13.514986991882324,-0.5360937379731464,,,
3607269.0,13.452232360839844,-0.5578348308572211,,,
3607519.0,13.393976211547852,-0.5732972582863403,,,
3607769.0,13.346590042114258,-0.5832877590845114,,,
3608019.0,13.318413734436035,-0.5907865919991455,,,
3608269.0,13.118622779846191,-0.6035130561127907,,,
3608519.0,13.040498733520508,-0.6169974363446113,,,
3608769.0,13.128868103027344,-0.6253030444638085,,,
3609019.0,13.454169273376465,-0.6201242723511851,,,
3609269.0,13.908823013305664,-0.5899798895556941,,,
3609519.0,14.066350936889648,-0.5508459078121375,,,
3609769.0,14.228344917297363,-0.5089033107832514,,,
3610019.0,14.198888778686523,-0.4804939166920176,,,
3610269.0,14.119483947753906,-0.4724576702076772,,,
3610519.0,14.106677055358888,-0.4709193184073096,,,
3610769.0,14.12460708618164,-0.4748766861213587,,,
3611019.0,14.113080978393556,-0.478150063006539,,,
3611269.0,14.05416774749756,-0.4806417308900758,,,
3611519.0,13.926095962524414,-0.4875304982651485,,,
3611769.0,13.746796607971191,-0.5019431283772192,,,
3612019.0,13.584145545959473,-0.5221208396385628,,,
3612269.0,13.412529945373535,-0.5465978958381115,,,
3612519.0,13.274869918823242,-0.5714407221452845,,,
3612769.0,13.17113208770752,-0.5934010442583768,,,
3613019.0,13.08532428741455,-0.6124299667104453,,,
3613269.0,13.013604164123535,-0.6276480987076273,,,
3613519.0,12.961094856262209,-0.6396179200225486,,,
