NTPTime,BVP,BVP_clean,TAG,emotion_HRI,shortNTPTime
7860.0,-0.490234375,3.206776576080934,,,
7875.0,-8.879470825195312,2.905250258142444,,,
7891.0,-18.28877258300781,2.602677655213433,,,
7907.0,-27.17548370361328,2.307605723206971,,,
7922.0,-32.79377746582031,2.024722019472591,,,
7938.0,-32.227752685546875,1.7584784493401082,,,
7954.0,-24.411094665527344,1.515727863531073,,,
7969.0,-10.975189208984377,1.3058536727532617,,,
7985.0,3.978179931640625,1.1384197830843654,,,
8000.0,16.175765991210938,1.0196911032502245,,,
8016.0,23.010406494140625,0.9498014171770174,,,
8032.0,24.9912338256836,0.9218477888676376,,,
8047.0,24.82872009277344,0.9232512621598058,,,
8063.0,25.677490234375,0.9388847614994285,,,
8079.0,29.40660858154297,0.9549690288270468,,,
8094.0,35.83088684082031,0.9625206598659052,,,
8110.0,43.699501037597656,0.9591321139503696,,,
8125.0,51.929161071777344,0.9481836841418224,,,
8141.0,59.55194091796875,0.9354124275820328,,,
8157.0,64.64115905761719,0.9240041108174396,,,
8172.0,64.11933898925781,0.9104741036953122,,,
8188.0,54.289817810058594,0.883783626449622,,,
8204.0,33.43106842041016,0.8289698778756361,,,
8219.0,3.7742919921875,0.7344022756191702,,,
8235.0,-27.86982727050781,0.5996648742047236,,,
8250.0,-51.887657165527344,0.4401927919832625,,,
8266.0,-59.99205017089844,0.2857738095119299,,,
8282.0,-49.036651611328125,0.1725250480138477,,,
8297.0,-23.35693359375,0.1308353535214983,,,
8313.0,6.257362365722656,0.173693232206736,,,
8329.0,26.24151611328125,0.2899327085619116,,,
8344.0,25.50353240966797,0.4452022983710291,,,
8360.0,-0.3313446044921875,0.5906434772622333,,,
8375.0,-46.99137115478516,0.6764837806967161,,,
8391.0,-103.21991729736328,0.6660477744063216,,,
8407.0,-154.28240966796875,0.6078699532676688,,,
8422.0,-187.24801635742188,0.5311378199021287,,,
8438.0,-194.7619171142578,0.4145164488703782,,,
8454.0,-176.338623046875,0.2440155927794343,,,
8469.0,-137.72833251953125,0.0150827028592191,,,
8485.0,-87.96224975585938,-0.1930274881110504,,,
8501.0,-35.72208404541016,-0.3100390049196945,,,
8516.0,12.656501770019531,-0.3244480045604618,,,
